
#,NAME,PSRJ,RAJ,DECJ,PMRA,PMDEC,P0,P1,F0,F1,F2,S400,S1400,S2000,BINARY,PB,DIST,DIST_DM,PSR,R_LUM,R_LUM14,AGE,TYPE,
80,B0114+58,J0117+5914,01:17:38.6,+59:14:38.3,-3.316,18.083,0.101439,5.85e-15,9.858135,-5.685e-13,-3.380e-24,7.60,0.30,,,,1.768,1.768,,2.38e+01,9.38e-01,2.75e+05,
81,J0121+53,J0121+53,01:21,+53:29,,,2.724785,,0.367001,,,,,,,,2.644,2.644,RRAT[gac+21],,,,
82,J0122+1416,J0122+1416,01:22:01.3,+14:16:17,,,1.388994,3.80e-15,0.719946,-1.971e-15,,,,,,,1.584,1.584,,,,5.79e+06,
83,J0125-2327,J0125-2327,01:25:10,-23:27:26,,,0.003676,,272.045181,,,,2.49,,,,0.873,0.873,,,1.90e+00,,
84,J0125+62,J0125+62,01:26,+62:35,,,1.708233,,0.585400,,,3.40,,,,,2.403,2.403,,1.96e+01,,,
85,J0131-7310,J0131-7310,01:31:28.5,-73:10:09.3,,,0.348124,1.76e-15,2.872539,-1.453e-14,,,0.06,,,,59.700,100.000,,,2.10e+02,3.13e+06,
86,J0133-6957,J0133-6957,01:33:32.4,-69:57:29.6,,,0.463474,1.20e-16,2.157620,-5.586e-16,,5.00,0.18,,,,2.441,2.441,,2.98e+01,1.07e+00,6.12e+07,
87,J0134-2937,J0134-2937,01:34:18.6,-29:37:17.0,17.000,-9.000,0.136962,7.84e-17,7.301316,-4.178e-15,,9.00,3.90,,,,25.000,25.000,,5.62e+03,2.44e+03,2.77e+07,
88,J0137+1654,J0137+1654,01:37:23.8,+16:54:42.1,,,0.414763,1.22e-17,2.411015,-7.109e-17,,1.40,,,,,3.061,3.061,,1.31e+01,,5.37e+08,
89,J0137+6349,J0137+6349,01:37:13.3,+63:49:34.3,,,0.717963,9.60e-16,1.392830,-1.862e-15,,,,,,,9.097,9.097,,,,1.19e+07,
90,J0139+3336,J0139+3336,01:39:57.2,+33:36:59.7,,,1.247961,2.06e-15,0.801307,-1.325e-15,,,,,,,1.472,1.472,RRAT[ttm18],,,9.58e+06,
91,J0139+5621,J0139+5621,01:39:38.5,+56:21:36.8,,,1.775344,7.91e-14,0.563271,-2.510e-14,,0.70,0.02,,,,2.410,2.410,,4.07e+00,1.16e-01,3.56e+05,
92,B0136+57,J0139+5814,01:39:19.7,+58:14:31.8,-19.110,-16.600,0.272451,1.07e-14,3.670390,-1.443e-13,,28.00,4.60,,,,2.600,2.006,,1.89e+02,3.11e+01,4.03e+05,
93,B0138+59,J0141+6009,01:41:39.9,+60:09:32.3,,,1.222949,3.91e-16,0.817696,-2.615e-16,2.700e-28,49.00,4.50,,,,2.300,1.498,,2.59e+02,2.38e+01,4.95e+07,
94,J0141+63,J0141+63,01:41,+63:08,,,0.046686,,21.419753,,,1.30,,,,,8.774,8.774,,1.00e+02,,,
95,J0146+31,J0146+31,01:46:15,+31:04,,,0.938100,,1.065984,,,,,,,,1.826,1.826,,,,,
96,J0146+6145,J0146+6145,01:46:22.4,+61:45:02.8,-4.100,1.900,8.688994,1.99e-12,0.115088,-2.640e-14,,,,,,,3.600,,AXP,NRAD,,,6.91e+04,
97,B0144+59,J0147+5922,01:47:44.6,+59:22:03.2,-6.390,3.800,0.196321,2.57e-16,5.093689,-6.662e-15,3.390e-26,6.60,2.10,,,,2.128,1.578,,2.99e+01,9.51e+00,1.21e+07,
98,B0148-06,J0151-0635,01:51:22.7,-06:35:02.9,10.700,-5.380,1.464665,4.43e-16,0.682750,-2.063e-16,,38.00,1.60,,,,25.000,25.000,,2.38e+04,1.00e+03,5.24e+07,
99,J0152+0948,J0152+0948,01:52:23.7,+09:48:10,,,2.746647,1.70e-15,0.364080,-2.253e-16,,0.91,,,,,2.477,2.477,,5.58e+00,,2.56e+07,
100,B0149-16,J0152-1637,01:52:10.8,-16:37:53.6,0.800,-31.300,0.832742,1.30e-15,1.200853,-1.874e-15,-4.980e-27,20.00,2.10,,,,0.920,0.920,,1.69e+01,1.78e+00,1.02e+07,
101,J0154+1833,J0154+1833,01:54:36.8,+18:33:50.7,10.300,-8.900,0.002365,2.92e-21,422.909914,-5.220e-16,,,0.11,,,,1.622,1.622,,,2.89e-01,1.28e+10,
102,J0156+04,J0156+04,01:56:01,+04:02,,,,,,,,,,,,,25.000,25.000,RRAT[dsm+16],,,,
103,B0153+39,J0156+3949,01:56:55.2,+39:49:29,,,1.811561,1.52e-16,0.552010,-4.620e-17,1.300e-27,4.00,,,,,4.916,4.916,,9.67e+01,,1.89e+08,
104,B0154+61,J0157+6212,01:57:49.9,+62:12:26.6,1.570,44.800,2.351745,1.89e-13,0.425216,-3.416e-14,,6.50,1.90,,,,1.786,1.385,,2.07e+01,6.06e+00,1.97e+05,
105,J0158+21,J0158+21,01:58:29,+21:08,,,0.505300,,1.979022,,,,,,,,1.569,1.569,,,,,
106,J0201+7005,J0201+7005,02:01:41.3,+70:05:18.1,,,1.349184,5.51e-15,0.741188,-3.029e-15,,,,,,,1.172,1.172,RRAT[kkl+15],,,3.88e+06,
107,J0205+6449,J0205+6449,02:05:37.9,+64:49:41.3,-1.400,0.540,0.065716,1.94e-13,15.217011,-4.487e-11,5.852e-21,,0.04,,,,3.200,2.784,HE,,4.61e-01,5.37e+03,
108,B0203-40,J0206-4028,02:06:01.2,-40:28:03.6,9.000,26.000,0.630551,1.20e-15,1.585914,-3.010e-15,,11.00,0.80,,,,1.260,1.260,,1.75e+01,1.27e+00,8.35e+06,
109,J0209+5759,J0209+5759,02:09:37.3,+57:59:45.3,,,1.063906,1.39e-14,0.939932,-1.230e-14,,,,,,,1.743,1.743,,,,1.21e+06,
110,J0210+5845,J0210+5845,02:10:55.4,+58:45:04,,,1.766208,1.34e-13,0.566185,-4.296e-14,,,,,,,1.952,1.952,,,,2.09e+05,
